idx,type,type_name,name,formula,pa,ra,pb,rb,coefs,srcs,saved,editable
46,16,ключ 2-поз.,сумма планируемых расходов всего бюджета,(1·[299]) > 0 ? [54] : [90],,,0;0,54;90,1,299,0,0
47,2,уставка·Σ,ставка проц оборотнонго кредита,30·(0.01·1),30,47,,,0.01,const,0,1
48,4,1/(Tp+1)·g,степень наличия бюджетн ресурсов,"clip(1·(1·[53]), 0.1, 1)",1,0,1;0.1,0;0,1,53,1,0
49,1,Σ,,1·[44],,,,,1,44,0,0
50,2,уставка·Σ,степень возможности роста расходов,0·(1·[39]),0,50,,,1,39,0,1
51,4,1/(Tp+1)·g,основные статьи расхода бюджета,"clip(1·(1·[301] + 1·[302] + 1·[303] + 1·[304] + 1·[305] + 1·[306] + 1·[307] + 1·[308] + 1·[309] + 1·[310] + 1·[311] + 1·[312] + 1·[313] + 1·[314] + 1·[315] + 1·[316] + 1·[317] + 1·[342] + 1·[346] + 1·[124] + 1·[58] + 1·[117] + 1·[50]), 0.02, 1)",1,0,1;0.02,0;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;342;346;124;58;117;50,1771,0
52,11,Π/Π,формир эмиссии,[54] / [51],0,54,0,51,,,0,0
53,14,clip Σ,,"clip(1.01·[52], 0, 1)",0,0,1,0,1.01,52,0,0
54,4,1/(Tp+1)·g,доходы бюджета + эмиссия,"clip(1·(1·[42] + 1·[191]), 0.01, 1)",1,0,1;0.01,0;0,1;1,42;191,1770.12,0
55,5,∫ с пределами,всего накопленная эмиссия,"∫(1·[191] + 1·[256]) dt, x0=0.1, pa1=0, hi=10000",0.1;0,0;0,10000,0,1;1,191;256,0.00825121,0
56,2,уставка·Σ,выдача рублевых лицензий,17·(1·1),17,56,,,1,const,0,1
57,2,уставка·Σ,выдача дол лицензий,21·(1·1),21,57,,,1,const,0,1
58,1,Σ,,1·[347] + 1·[348],,,,,1;1,347;348,0,0
59,14,clip Σ,превышение доходов над расходами,"clip(1·[42] + -1·[51], 0, 10000)",0,0,10000,0,1;-1,42;51,0,0
60,2,уставка·Σ,налоги из розничной торговли,0.43·(1·[4182] + 1·[5182] + 1·[11182]),0.43,0,,,1;1;1,4182;5182;11182,0,0
61,13,Σ/Π,заказ бюджета натурального количества сырья,(6·[361]) / [1039],,,0,1039,6,361,0,0
62,13,Σ/Π,заказ бюджета натурального количества Фа,(7.16·[362]) / [2039],,,0,2039,7.16,362,0,0
63,13,Σ/Π,заказ бюджета натурального количества строит,(7·[363]) / [3039],,,0,3039,7,363,0,0
64,13,Σ/Π,заказ бюджета натурального количества сель-хоз,(5.65·[364]) / [4039],,,0,4039,5.65,364,0,0
65,13,Σ/Π,заказ бюджета натурального количества ТНП,(7·[365]) / [5039],,,0,5039,7,365,0,0
66,13,Σ/Π,заказ бюджета натурального количества ВПК,(9.4·[366]) / [6039],,,0,6039,9.4,366,0,0
67,13,Σ/Π,заказ бюджета натурального количества угля,(9.7·[367]) / [7039],,,0,7039,9.7,367,0,0
68,13,Σ/Π,заказ бюджета натурального количества нефти,(1.111·[368]) / [8039],,,0,8039,1.111,368,0,0
69,13,Σ/Π,заказ бюджета натуральн колич газа,(2.18·[369]) / [9039],,,0,9039,2.18,369,0,0
70,13,Σ/Π,заказ бюджета натуральн колич элек-энерг,(5.15·[370]) / [10039],,,0,10039,5.15,370,0,0
71,9,Π,возможность бюджета закупить запланированное сырье,[48]·[301],0;0,48;301,,,,,0,0
72,9,Π,возможность бюджета закупить запланированное Фа,[48]·[302],0;0,48;302,,,,,0,0
73,9,Π,возможность бюджета закупить запланированное строительст,[48]·[303],0;0,48;303,,,,,0,0
74,9,Π,возможность бюджета закупить запланированное сельск-хоз,[48]·[304],0;0,48;304,,,,,0,0
75,9,Π,возможность бюджета закупить запланированное ТНП,[48]·[305],0;0,48;305,,,,,0,0
76,9,Π,возможность бюджета закупить запланированное ВПК,[48]·[306],0;0,48;306,,,,,0,0
77,9,Π,возможность бюджета закупить запланированный уголь,[48]·[307],0;0,48;307,,,,,0,0
78,9,Π,возможность бюджета закупить запланированную нефть,[48]·[308],0;0,48;308,,,,,0,0
79,9,Π,возможность бюджета закупить запланированный газ,[48]·[309],0;0,48;309,,,,,0,0
80,9,Π,возможность бюджета закупить запланированное электр энерг,[48]·[310],0;0,48;310,,,,,0,0
81,13,Σ/Π,заказ бюджета натурального количества пищев продукц,(6.6666·[371]) / [11039],,,0,11039,6.6666,371,0,0
82,13,Σ/Π,заказ бюджета натурального количества транспорта,(13.05·[372]) / [12039],,,0,12039,13.05,372,0,0
83,13,Σ/Π,заказ бюджета натурального количества проч продукц,(2.86·[373]) / [13039],,,0,13039,2.86,373,0,0
84,13,Σ/Π,оплата бюджета бюджетников,(0.5·[374] + 0.526·[38]) / [15111],,,0,15111,0.5;0.526,374;38,0,0
85,11,Π/Π,оплата бюджета военных,[375] / [15211],0,375,0,15211,,,0,0
86,13,Σ/Π,оплата бюджета пенсионеров,(1·[376]) / [15311],,,0,15311,1,376,0,0
87,11,Π/Π,оплата бюджета безработных,[377] / [15411],0,377,0,15411,,,0,0
88,2,уставка·Σ,включение прекращения поставок сырья при неоплате прежних поставок,0·(1·1),0,88,,,1,const,0,1
89,11,Π/Π,отношение собираемых доходов к планируемым доходам,[42] / [51],0,42,0,51,,,0,0
90,2,уставка·Σ,,1770·(1·1),1770,90,,,1,const,0,1
91,9,Π,возможность бюджета закупить запланированное пищевую прод,[48]·[311],0;0,48;311,,,,,0,0
92,9,Π,возможность бюджета закупить запланированный транспорт,[48]·[312],0;0,48;312,,,,,0,0
93,9,Π,возможность бюджета закупить запланированное прочее,[48]·[313],0;0,48;313,,,,,0,0
94,9,Π,возможность бюджета оплачивать запланированных бюджетников,[48]·[314],0;0,48;314,,,,,0,0
95,9,Π,возможность бюджета оплачив запланированных военных,[48]·[315],0;0,48;315,,,,,0,0
96,9,Π,возможность бюджета оплачив запланированных пенсионеров,[48]·[316],0;0,48;316,,,,,0,0
97,9,Π,возможность бюджета оплачивать запланированных безработных,[48]·[117],0;0,48;117,,,,,0,0
98,2,уставка·Σ,,1·(1·1),1,98,,,1,const,0,1
99,2,уставка·Σ,включение возврата долга за поставленное сырье из прибыли,0·(1·1),0,99,,,1,const,0,1
100,5,∫ с пределами,накопления минфина дол от внешнеэконом тарифов,"∫(1·[121] + -1·[587] + -1·[126] + 1·[57] + -1·[118]) dt, x0=1, pa1=0, hi=1e+06",1;0,0;0,1e+06,0,1;-1;-1;1;-1,121;587;126;57;118,10.1669,0
101,2,уставка·Σ,расходы бюджета на сырье,30·(1·1),30,101,,,1,const,0,1
102,2,уставка·Σ,расходы бюджета на  Фа,50·(1·1),50,102,,,1,const,0,1
103,2,уставка·Σ,расходы бюджета на строит,34.8·(1·1),34.8,103,,,1,const,0,1
104,2,уставка·Σ,расходы бюджета на  сель-хоз,34.8·(1·1),34.8,104,,,1,const,0,1
105,2,уставка·Σ,расходы бюджета на ТНП,16.7·(1·1),16.7,105,,,1,const,0,1
106,2,уставка·Σ,расходы бюджета на  ВПК,150·(1·1),150,106,,,1,const,0,1
107,2,уставка·Σ,расходы бюджета на  уголь,17.2·(1·1),17.2,107,,,1,const,0,1
108,2,уставка·Σ,расходы бюджета на  нефть,70·(1·1),70,108,,,1,const,0,1
109,2,уставка·Σ,расходы бюджета на  газ,50·(1·1),50,109,,,1,const,0,1
110,2,уставка·Σ,расходы бюджета на  эл-эн,38.8·(1·1),38.8,110,,,1,const,0,1
111,2,уставка·Σ,расходы бюджета на  пищев прод,38.8·(1·1),38.8,111,,,1,const,0,1
112,2,уставка·Σ,расходы бюджета на  транспорт,31·(1·1),31,112,,,1,const,0,1
113,2,уставка·Σ,расходы бюджета на  прочую продукцию,200·(1·1),200,113,,,1,const,0,1
114,2,уставка·Σ,оплата бюджетников,232·(1·1),232,114,,,1,const,0,1
115,2,уставка·Σ,оплата военных,182·(1·1),182,115,,,1,const,0,1
116,2,уставка·Σ,расходы на опл пенсионеров,165·(1·1),165,116,,,1,const,0,1
117,2,уставка·Σ,расходы на безработных,8·(1·1),8,117,,,1,const,0,1
118,2,уставка·Σ,другие валютные расходы минфина,5·(1·1),5,118,,,1,const,0,1
119,1,Σ,суммарный поток выплаты внешнего долга,1·[563] + 1·[564] + 1·[126],,,,,1;1;1,563;564;126,0,0
121,1,Σ,накопления минфина дол от внешнеэконом тарифов,1·[1168] + 1·[2168] + 1·[3168] + 1·[6168] + 1·[7168] + 1·[8168] + 1·[9168] + 1·[10168] + 1·[12168] + 1·[13168] + 1·[1208] + 1·[2208] + 1·[3208] + 1·[4208] + 1·[5208] + 1·[6208] + 1·[7208] + 1·[8208] + 1·[9208] + 1·[10208] + 1·[11208] + 1·[12208] + 1·[13208],,,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1168;2168;3168;6168;7168;8168;9168;10168;12168;13168;1208;2208;3208;4208;5208;6208;7208;8208;9208;10208;11208;12208;13208,0,0
122,2,уставка·Σ,темп продажи накопл минфином дол на рубл,16.91·(1·[123]),16.91,122,,,1,123,0,1
123,14,clip Σ,степень наличия дол у минфина,"clip(10·[100], 0, 1)",0,0,1,0,10,100,0,0
124,9,Π,величина уплаты внешнего долга в рублях,[564]·[501],0;0,564;501,,,,,0,0
125,15,ключ,выплата внешн долга за счет покупки дол на бирже как расхлд бюджета,(0.1·1 + -1·[100]) > 0 ? [127] : 0,,,0,127,0.1;-1,const;100,0,0
126,15,ключ,интенсивность выплат внешн долга за счет средств минфина,(-0.1·1 + 1·[100]) > 0 ? [127] : 0,,,0,127,-0.1;1,const;100,0,0
127,2,уставка·Σ,график выплат внешнего долга в дол,30·(1·[128]),30,127,,,1,128,0,1
128,14,clip Σ,,"clip(10·[130], 0, 1)",0,0,1,0,10,130,0,0
129,2,уставка·Σ,проценты по внешнему долгу,13·(0.01·[130]),13,129,,,0.01,130,0,1
130,5,∫ с пределами,сумма внешнего долга в дол,"∫(1·[129] + -1·[119]) dt, x0=1, pa1=0, hi=1e+08",1;0,0;0,1e+08,0,1;-1,129;119,92.5976,0
131,9,Π,индекс уровеня жизни соц группы,[1838]·[1811],0;0,1838;1811,,,,,0,0
132,9,Π,индекс уровеня жизни соц группы,[2838]·[2811],0;0,2838;2811,,,,,0,0
133,9,Π,индекс уровеня жизни соц группы,[3838]·[3811],0;0,3838;3811,,,,,0,0
134,9,Π,индекс уровеня жизни соц группы,[4838]·[4811],0;0,4838;4811,,,,,0,0
135,9,Π,индекс уровеня жизни соц группы,[5838]·[5811],0;0,5838;5811,,,,,0,0
136,9,Π,индекс уровеня жизни соц группы,[6838]·[6811],0;0,6838;6811,,,,,0,0
137,9,Π,индекс уровеня жизни соц группы,[7838]·[7811],0;0,7838;7811,,,,,0,0
138,9,Π,индекс уровеня жизни соц группы,[8838]·[8811],0;0,8838;8811,,,,,0,0
139,9,Π,индекс уровеня жизни соц группы,[9838]·[9811],0;0,9838;9811,,,,,0,0
140,9,Π,индекс уровеня жизни соц группы,[10838]·[10811],0;0,10838;10811,,,,,0,0
141,9,Π,индекс уровеня жизни соц группы,[11838]·[11811],0;0,11838;11811,,,,,0,0
142,9,Π,индекс уровеня жизни соц группы,[12838]·[12811],0;0,12838;12811,,,,,0,0
143,9,Π,индекс уровеня жизни соц группы,[13838]·[13811],0;0,13838;13811,,,,,0,0
144,9,Π,индекс уровеня жизни соц группы,[15138]·[15111],0;0,15138;15111,,,,,0,0
145,9,Π,индекс уровеня жизни соц группы,[15238]·[15211],0;0,15238;15211,,,,,0,0
146,9,Π,индекс уровеня жизни соц группы,[15338]·[15400],0;0,15338;15400,,,,,0,0
147,9,Π,индекс уровеня жизни соц группы,[15438]·[15411],0;0,15438;15411,,,,,0,0
148,9,Π,индекс уровеня жизни соц группы,[15538]·[15511],0;0,15538;15511,,,,,0,0
151,13,Σ/Π,индекс уровня жизни населения,(2·[131] + 2·[132] + 2·[133] + 2·[134] + 2·[135] + 2·[136] + 2·[137] + 2·[138] + 2·[139] + 2·[140] + 2·[141] + 2·[142] + 2·[143] + 2·[144] + 2·[145] + 2·[146] + 2·[147] + 2·[148]) / [153],,,0,153,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148,0,0
152,13,Σ/Π,индекс социальной напряженности,(1·[171] + 1·[172] + 1·[173] + 1·[174] + 1·[175] + 1·[176] + 1·[177] + 1·[178] + 1·[179] + 1·[180] + 1·[181] + 1·[182] + 1·[183] + 1·[184] + 1·[185] + 1·[186] + 1·[187] + 1·[188]) / [153],,,0,153,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188,0,0
153,2,уставка·Σ,всего населения в социальных группах,1.5·(1·[1811] + 1·[2811] + 1·[3811] + 1·[4811] + 1·[6811] + 1·[6811] + 1·[7811] + 1·[8811] + 1·[9811] + 1·[10811] + 1·[11811] + 1·[12811] + 1·[13811] + 1·[15111] + 1·[15211] + 1·[15311] + 1·[15411] + 1·[15511]),1.5,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1811;2811;3811;4811;6811;6811;7811;8811;9811;10811;11811;12811;13811;15111;15211;15311;15411;15511,0,0
154,4,1/(Tp+1)·g,социальная напряженность,"clip(1·(1·[152]), 1, 1)",1,0,1;1,0;0,1,152,0.49039,0
155,1,Σ,ВВП в производстве и троговле,1·[156] + 1·[5183] + 1·[4183] + 1·[11183],,,,,1;1;1;1,156;5183;4183;11183,0,0
156,1,Σ,ВВП в сфере производства,1·[1043] + 1·[2043] + 1·[3043] + 1·[4043] + 1·[5043] + 1·[6043] + 1·[7043] + 1·[8043] + 1·[9043] + 1·[10043] + 1·[11043] + 1·[12043] + 1·[13043],,,,,1;1;1;1;1;1;1;1;1;1;1;1;1,1043;2043;3043;4043;5043;6043;7043;8043;9043;10043;11043;12043;13043,0,0
157,1,Σ,сумма предложений,1·[1004] + 1·[2004] + 1·[3004] + 1·[4004] + 1·[5004] + 1·[6004] + 1·[7004] + 1·[8004] + 1·[9004] + 1·[10004] + 1·[11004] + 1·[12004] + 1·[13004],,,,,1;1;1;1;1;1;1;1;1;1;1;1;1,1004;2004;3004;4004;5004;6004;7004;8004;9004;10004;11004;12004;13004,0,0
158,12,Π/Σ,индекс использования основных производственных фондов в целом по стране,[157] / (13·1),0,157,,,13,const,0,0
159,2,уставка·Σ,план дохода бюджета,1775·(1·1),1775,159,,,1,const,0,1
160,2,уставка·Σ,план дефицита,0·(0),0,160,,,,,0,1
161,4,1/(Tp+1)·g,,"clip(1·(1·[190]), 0.4, 1)",1,0,1;0.4,0;0,1,190,0.958171,0
171,9,Π,социальная напряженност в группе,[1811]·[1885],0;0,1811;1885,,,,,0,0
172,9,Π,социальная напряженност в группе,[2885]·[2811],0;0,2885;2811,,,,,0,0
173,9,Π,3оциальная напряженност в группе,[3885]·[3811],0;0,3885;3811,,,,,0,0
174,9,Π,социальная напряженност в группе,[4885]·[4811],0;0,4885;4811,,,,,0,0
175,9,Π,социальная напряженност в группе,[5885]·[5811],0;0,5885;5811,,,,,0,0
176,9,Π,социальная напряженност в группе,[6885]·[6811],0;0,6885;6811,,,,,0,0
177,9,Π,социальная напряженност в группе,[7885]·[7811],0;0,7885;7811,,,,,0,0
178,9,Π,социальная напряженност в группе,[8885]·[8811],0;0,8885;8811,,,,,0,0
179,9,Π,социальная напряженност в группе,[9885]·[9811],0;0,9885;9811,,,,,0,0
180,9,Π,социальная напряженност в группе,[10885]·[10811],0;0,10885;10811,,,,,0,0
181,9,Π,3оциальная напряженност в группе,[11885]·[11811],0;0,11885;11811,,,,,0,0
182,9,Π,социальная напряженност в группе,[12885]·[12811],0;0,12885;12811,,,,,0,0
183,9,Π,социальная напряженност в группе,[13885]·[13811],0;0,13885;13811,,,,,0,0
184,9,Π,социальная напряженност в группе,[15185]·[15111],0;0,15185;15111,,,,,0,0
185,9,Π,социальная напряженност в группе,[15285]·[15211],0;0,15285;15211,,,,,0,0
186,9,Π,социальная напряженност в группе,[15385]·[15400],0;0,15385;15400,,,,,0,0
187,9,Π,социальная напряженност в группе,[15485]·[15411],0;0,15485;15411,,,,,0,0
188,9,Π,социальная напряженност в группе,[15585]·[15511],0;0,15585;15511,,,,,0,0
189,2,уставка·Σ,выключение прекращения поставок сырья при неоплате прежних поставок,1·(1·1),1,189,,,1,const,0,1
190,14,clip Σ,,"clip(-1·[54] + 1·[51], 0, 1e+07)",0,0,1e+07,0,-1;1,54;51,0,0
191,2,уставка·Σ,включ эмиссии,0·(25·[161]),0,191,,,25,161,0,1
192,2,уставка·Σ,выкл эмиссии,1·(1·1),1,192,,,1,const,0,1
193,1,Σ,сумма потоков эмиссии,1·[191] + 1·[256],,,,,1;1,191;256,0,0
194,1,Σ,доходы бюджета,0.1·[42],,,,,0.1,42,0,0
195,1,Σ,расходы бюджета,0.1·[51],,,,,0.1,51,0,0
196,1,Σ,эмиссия дефицита,0.1·[191],,,,,0.1,191,0,0
197,1,Σ,эмиссия роста ФОТ,0.1·[256],,,,,0.1,256,0,0
198,2,уставка·Σ,выключение необходимости получения оборотного кредита,1·(1·1),1,198,,,1,const,0,1
199,2,уставка·Σ,включение необходимости получения оборотного кредита,0·(1·1),0,199,,,1,const,0,1
200,1,Σ,масштабир нормы приб в секторе проч,0.5·[13057],,,,,0.5,13057,0,0
201,2,уставка·Σ,суммарный спрос на продукты питания,0.006412·(1·[1826] + 1·[2826] + 1·[3826] + 1·[4826] + 1·[5826] + 1·[6826] + 1·[7826] + 1·[8826] + 1·[9826] + 1·[10826] + 1·[11826] + 1·[12826] + 1·[13826] + 1·[15126] + 1·[15226] + 1·[15326] + 1·[15426] + 1·[15526] + 1·[16126] + 1·[16226] + 1·[16326] + 1·[16426]),0.006412,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1826;2826;3826;4826;5826;6826;7826;8826;9826;10826;11826;12826;13826;15126;15226;15326;15426;15526;16126;16226;16326;16426,0,0
202,2,уставка·Σ,суммарный спрос на ТНП,1.11·(1·[1809] + 1·[2809] + 1·[3809] + 1·[4809] + 1·[5809] + 1·[6809] + 1·[7809] + 1·[8809] + 1·[9809] + 1·[10809] + 1·[11809] + 1·[12809] + 1·[13809] + 1·[15109] + 1·[15209] + 1·[15309] + 1·[15409] + 1·[15509] + 1·[16109] + 1·[16209] + 1·[16309] + 1·[16409]),1.11,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1809;2809;3809;4809;5809;6809;7809;8809;9809;10809;11809;12809;13809;15109;15209;15309;15409;15509;16109;16209;16309;16409,0,0
203,2,уставка·Σ,суммарный спрос на услуги,0.9865·(1·[1808] + 1·[2808] + 1·[3808] + 1·[4808] + 1·[5808] + 1·[6808] + 1·[7808] + 1·[8808] + 1·[9808] + 1·[10808] + 1·[11808] + 1·[12808] + 1·[13808] + 1·[15108] + 1·[15208] + 1·[15308] + 1·[15408] + 1·[15508] + 1·[16108] + 1·[16208] + 1·[16308] + 1·[16408]),0.9865,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1808;2808;3808;4808;5808;6808;7808;8808;9808;10808;11808;12808;13808;15108;15208;15308;15408;15508;16108;16208;16308;16408,0,0
204,2,уставка·Σ,суммарный спрос на досуг,0.9774·(1·[1850] + 1·[2850] + 1·[3850] + 1·[4850] + 1·[5850] + 1·[6850] + 1·[7850] + 1·[8850] + 1·[9850] + 1·[10850] + 1·[11850] + 1·[12850] + 1·[13850] + 1·[15150] + 1·[15250] + 1·[15350] + 1·[15450] + 1·[15550] + 1·[16150] + 1·[16250] + 1·[16350] + 1·[16450]),0.9774,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1850;2850;3850;4850;5850;6850;7850;8850;9850;10850;11850;12850;13850;15150;15250;15350;15450;15550;16150;16250;16350;16450,0,0
205,1,Σ,сумма произведений спросов на цены,1·[206] + 1·[207] + 1·[208] + 1·[209],,,,,1;1;1;1,206;207;208;209,0,0
