подсистема,оператор_описаниги,класс,экземпляров_в_файле,блок_СНХМ,тип,имя_в_файле,смысл_по_описаниге,вердикт,фактическое_соответствие
схема 11 внешн.долг,127,глобальный,1,127,2,график выплат внешнего долга в дол,график (интенсивность) выплаты внешнего долга,совпадает,
схема 11 внешн.долг,128,глобальный,1,128,14,,сигнал значительного внешнего долга (=1),совпадает,
схема 11 внешн.долг,129,глобальный,1,129,2,проценты по внешнему долгу,процентная ставка обслуживания долга,совпадает,
схема 11 внешн.долг,130,глобальный,1,130,5,сумма внешнего долга в дол,внешний долг в инвалюте (интегратор),совпадает,
схема 6 предм.труда,189,глобальный,1,189,2,выключение прекращения поставок сырья при неоплате прежних поставок,переключатели режима реакции поставщика на долг,совпадает,
схема 9-17.10 бюджет,190,глобальный,1,190,14,,сигнал о необходимости эмиссии (интегратор),частично,
схема 9-17.10 бюджет,191,глобальный,1,191,2,включ эмиссии,ключ включения эмиссии,совпадает,
схема 8 кредит,199,глобальный,1,199,2,включение необходимости получения оборотного кредита,политика сектора по получению кредита,совпадает,
схема 21-17.22 безраб.+потенциал,231,глобальный,1,231,4,общее количество безработных в сфере производства,общее количество безработных (звено 1/(Tp+1)),совпадает,
схема 21-17.22 безраб.+потенциал,232,глобальный,1,232,11,отношение величины потребности в труде к колич трудоспособных в сф производства,общая для сферы производства степень безработицы,частично,
схема 21-17.22 безраб.+потенциал,233,глобальный,1,233,1,общее колич трудоспособных в сфере производства,сумматоры по секторам,совпадает,
схема 21-17.22 безраб.+потенциал,234,глобальный,1,234,1,общая потребность в труде в сфере производства,сумматоры по секторам,совпадает,
схема 1-17.2 ядро+инвестиции,235,глобальный,1,235,2,доля безраб труд рес котор могут перейти в другие сектора,вход | доля безработных из других секторов,совпадает,
схема 21-17.22 безраб.+потенциал,235,глобальный,1,235,2,доля безраб труд рес котор могут перейти в другие сектора,"экзогенная доля безработных, желающих работать в данном секторе",совпадает,
схема 9-17.10 бюджет,254,глобальный,1,254,14,сумма ЗП в сфере производства,эмиссия от развития сферы производства (механизм не рассматривается),частично,
схема 15-17.17 соцгруппа,297,глобальный,1,297,2,натур спрос на пищ из сф потр,спрос на отечественную пищевую продукцию,совпадает,
схема 9-17.10 бюджет,301,глобальный,1,301,1,для управления статьей расходов бюджета во времени,сектор сырья (госзаказ),совпадает,
схема 9-17.10 бюджет,313,глобальный,1,313,2,для управления статьей расходов бюджета во времени,прочие сектора,совпадает,
схема 9-17.10 бюджет,314,глобальный,1,314,2,для управления статьей расходов бюджета во времени,бюджетники,совпадает,
схема 9-17.10 бюджет,315,глобальный,1,315,2,для управления статьей расходов бюджета во времени,военные,совпадает,
схема 9-17.10 бюджет,316,глобальный,1,316,2,для управления статьей расходов бюджета во времени,пенсионеры,совпадает,
схема 9-17.10 бюджет,317,глобальный,1,317,2,для управления статьей расходов бюджета на культуру во времени,культура,совпадает,
схема 9-17.10 бюджет,318,глобальный,1,318,2,,безработные,частично,
схема 7 ВЭД,321,глобальный,1,321,2,тариф на экспорт сырья,ставка экспортного тарифа,совпадает,
схема 9-17.10 бюджет,346,глобальный,1,346,2,для управления статьей расходов бюджета намедицину во времени,медицина,совпадает,
схема 9-17.10 бюджет,347,глобальный,1,347,2,для управления статьей расходов бюджета на науку во времени,образование,совпадает,
схема 9-17.10 бюджет,348,глобальный,1,348,2,для управления статьей расходов бюджета на образование во времени,наука,совпадает,
схема 1-17.2 ядро+инвестиции,350,глобальный,1,350,4,кач жизни в демографию,% | ставка прироста банковских депозитов сектора,не совпадает,ставка депозита = #230
схема 1-17.2 ядро+инвестиции,361,глобальный,1,361,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,вход | бюджет (покупка продукции сектора бюджетом),совпадает,
схема 9-17.10 бюджет,361,глобальный,1,361,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,сектор сырья (госзаказ),совпадает,
схема 9-17.10 бюджет,373,глобальный,1,373,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,прочие сектора,совпадает,
схема 9-17.10 бюджет,374,глобальный,1,374,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,бюджетники,совпадает,
схема 9-17.10 бюджет,375,глобальный,1,375,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,военные,совпадает,
схема 9-17.10 бюджет,376,глобальный,1,376,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,пенсионеры,совпадает,
схема 9-17.10 бюджет,377,глобальный,1,377,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,безработные,совпадает,
схема 6 предм.труда,401,глобальный,1,401,2,цена импортного сырья,цена импорта в инвалюте,совпадает,
схема 7 ВЭД,421,глобальный,1,421,2,цена импортных Фа,импортная цена Фа,совпадает,
схема 6 предм.труда,441,глобальный,1,441,2,норматив импортного тарифа на сырье секторам,тариф/пошлина на импорт,совпадает,
схема 1-17.2 ядро+инвестиции,442,глобальный,1,442,2,норматив импортного тарифа на сырье секторам,вход | долг банку,не совпадает,долг банку = #k442 (описанига опустила цифру сектора)
схема 6 предм.труда,461,глобальный,1,461,1,коэф увеличения импортной цены на сырье секторам,тариф/пошлина на импорт,совпадает,
схема 12-17.13 биржа,480,глобальный,0,,,,учёт неединичной степени несоответствия спроса-предложения валют,отсутствует,#500/#480/#543 в файле отсутствуют; курс = #501
схема 6 предм.труда,490,глобальный,1,490,11,доля дохода бюджета на статью расходов,вход схемы валютной биржи,не совпадает,вход схемы биржи = #1205/#420; #490 = доля дохода бюджета на статью
схема 6 предм.труда,500,глобальный,0,,,,курс рубля к инвалюте,отсутствует,курс = #501
схема 12 биржа,500,глобальный,0,,,,валютный курс (интегратор),отсутствует,курс = #501
схема 12-17.13 биржа,500,глобальный,0,,,,биржевой курс рубля к инвалюте (интегратор + нелинейность),отсутствует,#500/#480/#543 в файле отсутствуют; курс = #501
схема 12 биржа,501,глобальный,1,501,5,курс рубля к дол на валютной бирже,"курс, установленный ЦБ",не совпадает,курс ЦБ = #540
схема 12-17.13 биржа,501,глобальный,1,501,5,курс рубля к дол на валютной бирже,"курс рубля к инвалюте, заданный Центробанком",не совпадает,курс ЦБ = #540
схема 12 биржа,502,глобальный,1,502,2,формирование покупки - продажи дол населением,спрос минус предложение инвалюты (первая производная курса),частично,
схема 12-17.13 биржа,502,глобальный,1,502,2,формирование покупки - продажи дол населением,сумматор: (спрос на инвалюту 516) − (предложение/спрос на рубли 506),частично,
схема 12 биржа,503,глобальный,1,503,14,дол интервенция,режим «траектория»,частично,
схема 11 внешн.долг,506,глобальный,1,506,4,дол предложение всех,пополнение бюджета рублями от продажи инвалюты,не совпадает,пополнение бюджета рублями = #587; #506 = дол предложение всех
схема 12-17.13 биржа,506,глобальный,1,506,4,дол предложение всех,"общий спрос на рубли (предложение инвалюты): экспортёры, население, Минфин",частично,
схема 12 биржа,508,глобальный,1,508,12,дол интервенция ЦБ,режим «траектория»,частично,
схема 12 биржа,509,глобальный,1,509,2,степень интенсивности интервенций,интенсивность интервенции (экзогенно),совпадает,
схема 12-17.13 биржа,509,глобальный,1,509,2,степень интенсивности интервенций,интенсивность интервенций ЦБ,совпадает,
схема 18-17.20 валюта насел.,510,глобальный,1,510,2,,степень заинтересованности/желания купить инвалюту,совпадает,
схема 18-17.20 валюта насел.,511,глобальный,1,511,2,,степень заинтересованности/желания продать инвалюту,совпадает,
схема 12 биржа,513,глобальный,1,513,14,темп интервенции ЦБ на бирже,режим «траектория»,частично,
схема 11 внешн.долг,516,глобальный,1,516,4,рублевая интервенция всех в дол выражении,заявка на биржу,частично,
схема 12-17.13 биржа,516,глобальный,1,516,4,рублевая интервенция всех в дол выражении,общий спрос на инвалюту (импорт + ЦБ + сектора + население),частично,
схема 12 биржа,519,глобальный,1,519,2,колич дол на начало интервенции ЦБанка,валютные накопления ЦБ,частично,
схема 12-17.13 биржа,519,глобальный,1,519,2,колич дол на начало интервенции ЦБанка,исходные накопления в ЦБ,совпадает,
схема 11 внешн.долг,520,глобальный,1,520,7,продано дол на бирже,степень удовлетворения обмена,частично,
схема 12-17.13 биржа,520,глобальный,1,520,7,продано дол на бирже,"min(спрос, предложение)",совпадает,
схема 11 внешн.долг,521,глобальный,1,521,14,предлож рублей от всех,степень удовлетворения обмена,частично,
схема 12 биржа,523,глобальный,1,523,3,+/- резервы ЦБ,валютные накопления ЦБ,совпадает,
схема 11 внешн.долг,527,глобальный,1,527,11,степень удовлетв в дол на бирже,степень удовлетворения обмена,частично,
схема 6 предм.труда,527,глобальный,1,527,11,степень удовлетв в дол на бирже,степень удовлетворения сектора в валюте (=1 при достаточности),частично,
схема 12-17.13 биржа,527,глобальный,1,527,11,степень удовлетв в дол на бирже,степень удовлетворения спроса на инвалюту / на рубли,совпадает,
схема 12-17.13 биржа,528,глобальный,1,528,11,степ удовлетв в рублях на бирже,степень удовлетворения спроса на инвалюту / на рубли,совпадает,
схема 12-17.13 биржа,529,глобальный,1,529,2,ширина коридора валютн курса,ширина валютного коридора,совпадает,
схема 7 ВЭД,530,глобальный,1,530,2,доля продаж дол на бирже,доля продаж экспортной выручки,частично,
схема 18-17.20 валюта насел.,533,глобальный,1,533,1,,регистрация роста курса,совпадает,
схема 12 биржа,538,глобальный,1,538,12,руб интервенц ЦБ,режим «траектория»,частично,
схема 18-17.20 валюта насел.,541,глобальный,1,541,14,уменьш отнош руб/дол,регистрация падения курса,совпадает,
схема 12-17.13 биржа,543,глобальный,0,,,,учёт неединичной степени несоответствия спроса-предложения валют,отсутствует,#500/#480/#543 в файле отсутствуют; курс = #501
схема 18-17.20 валюта насел.,545,глобальный,1,545,17,темп инфляции,инфляционные изменения (первая производная розничных цен),совпадает,
схема 18-17.20 валюта насел.,546,глобальный,1,546,13,темп инфляции,инфляционные изменения (первая производная розничных цен),совпадает,
схема 18-17.20 валюта насел.,547,глобальный,1,547,14,увеличен  отношения  руб/дол,регистрация роста курса,совпадает,
схема 18-17.20 валюта насел.,548,глобальный,1,548,14,заинтересованность в покупке дол населения,объединение влияющих факторов,совпадает,
схема 18-17.20 валюта насел.,549,глобальный,1,549,14,заинтересованность населения в сбросе дол на рубли,объединение влияющих факторов,совпадает,
схема 12-17.13 биржа,550,глобальный,1,550,11,спрос на дол для импорта Фа,покупка инвалюты на бирже за часть инвестиционного потока,совпадает,
схема 18-17.20 валюта насел.,551,глобальный,1,551,11,,регистрация падения курса,совпадает,
схема 18-17.20 валюта насел.,553,глобальный,1,553,11,,регистрация роста курса,совпадает,
схема 12-17.13 биржа,554,глобальный,1,554,9,покупка дол импортерами,учёт неединичной степени несоответствия спроса-предложения валют,частично,
схема 12-17.13 биржа,556,глобальный,1,556,9,продано дол населению,учёт неединичной степени несоответствия спроса-предложения валют,частично,
схема 12-17.13 биржа,557,глобальный,1,557,14,сумма предложений рублей импортерами для покупки дол,суммарный рублёвый спрос на импортные товары,совпадает,
схема 12-17.13 биржа,558,глобальный,1,558,11,спрос на дол импортеров,спрос на импорт в инвалютном выражении (= рублёвый спрос / курс),совпадает,
схема 18-17.20 валюта насел.,561,глобальный,1,561,2,регулятор влияния темпа инфляц на поекпку дол,«веса» влияния инфляционных изменений,совпадает,
схема 18-17.20 валюта насел.,562,глобальный,1,562,2,регулятор влияния темпа инфляц на поекпку дол,«веса» влияния инфляционных изменений,совпадает,
схема 11 внешн.долг,563,глобальный,1,563,9,реально получено дол на бирже,покупка инвалюты за счёт продажи профицита,совпадает,
схема 12-17.13 биржа,563,глобальный,1,563,9,реально получено дол на бирже,учёт неединичной степени несоответствия спроса-предложения валют,частично,
схема 11 внешн.долг,564,глобальный,1,564,9,реально получ дол на бирже,поток обмена бюджетных рублей,совпадает,
схема 12-17.13 биржа,564,глобальный,1,564,9,реально получ дол на бирже,учёт неединичной степени несоответствия спроса-предложения валют,частично,
схема 12 биржа,569,глобальный,1,569,14,,режим «коридор»,совпадает,
схема 12 биржа,570,глобальный,1,570,11,коридор,режим «коридор»,совпадает,
схема 12-17.13 биржа,587,глобальный,1,587,9,купленные минфином  на дол рубли для доходов бюджета,учёт неединичной степени несоответствия спроса-предложения валют,частично,
схема 12 биржа,589,глобальный,1,589,14,коридор,режим «коридор»,совпадает,
схема 12 биржа,590,глобальный,1,590,11,коридор,режим «коридор»,совпадает,
схема 18-17.20 валюта насел.,601,глобальный,1,601,1,накоплено рублей в соц группе,вход величины рублёвых накоплений,совпадает,
схема 18-17.20 валюта насел.,602,глобальный,1,602,14,ограничение в доли обмена руб на дол,количество рублей для обмена в инвалютном измерении,частично,
схема 18-17.20 валюта насел.,603,глобальный,1,603,9,заинтересованность в покупке дол,предложение обмена рублей на инвалюту,частично,
схема 18-17.20 валюта насел.,604,глобальный,1,604,11,перевод обмениваемых рубл в дол величину и учет доли желательного обмена,умножитель на степень желания покупки,совпадает,
схема 18-17.20 валюта насел.,605,глобальный,1,605,5,накоплено дол в соц группе,поток приобретённой инвалюты,частично,
схема 18-17.20 валюта насел.,606,глобальный,1,606,11,поток купленных дол,накопленная населением инвалюта (интегратор),частично,
схема 18-17.20 валюта насел.,607,глобальный,1,607,7,поток проданных дол,наличие инвалюты на руках,частично,
схема 18-17.20 валюта насел.,608,глобальный,1,608,11,желательный поток продажи дол,min,частично,
схема 18-17.20 валюта насел.,609,глобальный,1,609,11,поток проданных дол,всего предлагается для продажи инвалюты (по группе),частично,
схема 18-17.20 валюта насел.,610,глобальный,1,610,14,рост продажи дол при уменьшении колич накопленных рублей,индикатор достаточности рублёвых накоплений (=1 пока их много),частично,
схема 18-17.20 валюта насел.,611,глобальный,1,611,1,накоплено рублей в соц группе,экзогенная доля рублёвых накоплений для обмена,не совпадает,"агрегаты по всему населению = #807 (продажа), #808 (покупка), #809 (накоплено), #814 (куплено); #611-613 = 2-й экземпляр шаблона"
схема 18-17.20 валюта насел.,612,глобальный,1,612,14,ограничение в доли обмена руб на дол,"количество рублей (в инвалютном измерении) всего населения, предлагаемых для обмена",не совпадает,"агрегаты по всему населению = #807 (продажа), #808 (покупка), #809 (накоплено), #814 (куплено); #611-613 = 2-й экземпляр шаблона"
схема 18-17.20 валюта насел.,613,глобальный,1,613,9,заинтересованность в покупке дол,сумма всех предложений (поток проданной инвалюты),не совпадает,"агрегаты по всему населению = #807 (продажа), #808 (покупка), #809 (накоплено), #814 (куплено); #611-613 = 2-й экземпляр шаблона"
схема 7 ВЭД,781,глобальный,1,781,13,количество закупленного импортного Фа,натуральное количество Фа за счёт инвестиционной прибыли,совпадает,
схема 15-17.17 соцгруппа,801,шаблон соцгруппы (off 01),2,11801,1,,поток дохода одного члена социальной группы,не совпадает,доход = #k802
схема 15-17.17 соцгруппа,802,шаблон соцгруппы (off 02),22,1802,2,доход,обязательные платежи (доля других платежей),не совпадает,другие платежи = #k806/#k807
схема 15-17.17 соцгруппа,803,шаблон соцгруппы (off 03),22,1803,9,сумма подоходн налога из соц группы,ставка подоходного налога,частично,
схема 15-17.17 соцгруппа,804,шаблон соцгруппы (off 04),22,1804,9,масса подоходного налога,умножитель вычетов,частично,
схема 15-17.17 соцгруппа,805,шаблон соцгруппы (off 05),22,1805,4,чистый доход,поток чистого дохода / накопления (рублёвые накопления),совпадает,
схема 15-17.17 соцгруппа,806,шаблон соцгруппы (off 06),22,1806,9,другие платежи,поток накопления,не совпадает,накопления = #k815/#k816
схема 15-17.17 соцгруппа,807,шаблон соцгруппы (off 07),22,1807,9,другие платежи,оплата благ за счёт накоплений,не совпадает,#807 — глобальный «сумма желаний продать дол»; оплата благ из накоплений = #k814
схема 15-17.17 соцгруппа,808,шаблон соцгруппы (off 08),22,1808,9,спрос соц группы на услуги,поток денег для текущей жизни,не совпадает,деньги на текущую жизнь = #k818 «финансовые возможности»
схема 18-17.20 валюта насел.,809,глобальный,1,809,2,суммарное накопление дол населением,всего инвалюты на руках у населения (на схема 19),совпадает,
схема 15-17.17 соцгруппа,809,шаблон соцгруппы (off 09),22,1809,9,спрос на ТНП в социальной группе,длительность использования накоплений (продолжительность расходования накоплений),не совпадает,#809 — глобальный «суммарное накопление дол»; спрос на ТНП = #k809
схема 15-17.17 соцгруппа,810,шаблон соцгруппы (off 10),22,1810,9,спрос на стоящ жилье в соц группе,умножитель (доля на ПП + жильё) × 808,не совпадает,расходы на ПП+жильё = #k821
схема 15-17.17 соцгруппа,811,шаблон соцгруппы (off 11),22,1811,2,количество человек в соц группе,финансовые возможности на остальные (не приоритетные) блага,не совпадает,фин. возможности = #k818; #k811 = количество человек
схема 15-17.17 соцгруппа,812,шаблон соцгруппы (off 12),22,1812,9,формир фин возмож,расходы на ПП и жильё / расходы на жильё,не совпадает,#k812 = формир фин возмож
схема 15-17.17 соцгруппа,813,шаблон соцгруппы (off 13),1,11813,1,,цена продуктов питания Ц_пп,не совпадает,цена ПП = #k824 (масштаб) и #4190
схема 15-17.17 соцгруппа,814,шаблон соцгруппы (off 14),22,1814,10,формир финан возм,цена продуктов питания Ц_пп,не совпадает,#k814 = формир финан возм
схема 15-17.17 соцгруппа,815,шаблон соцгруппы (off 15),22,1815,5,денежные накопления,"доля финансовых возможностей, расходуемая на продукты питания",не совпадает,#k815 = денежные накопления (уровень); доля на ПП = #k828
схема 15-17.17 соцгруппа,816,шаблон соцгруппы (off 16),22,1816,11,формир денежн накоплений,расходы на ПП,совпадает,
схема 15-17.17 соцгруппа,817,шаблон соцгруппы (off 17),22,1817,11,формир соц напряженности,доля на ПП + жильё,совпадает,
схема 14 розн.рынок,820,глобальный,1,820,11,колич импортн Фа за ИНВАЛЮТН НАКОПЛЕНИЯ,общий спрос всех соцгрупп на продукты питания (сумматор),не совпадает,общий спрос на ПП = #201
схема 15-17.17 соцгруппа,820,шаблон соцгруппы (off 20),22,1820,1,расходы на ТНП Услуги и Досуг,сумматор общего спроса на ПП,не совпадает,общий спрос на ПП = #201; #k820 = расходы на ТНП+Усл+Досуг
схема 5 фонды,821,глобальный,1,821,1,всего импортн Фа количество,импорт оборудования (суммарное количество импортных Фа),совпадает,
схема 15-17.17 соцгруппа,822,шаблон соцгруппы (off 22),22,1822,12,расходы на ПП,спрос на приобретаемое жильё,не совпадает,#k822 = расходы на ПП; спрос на жильё = #k810/#k841
схема 15-17.17 соцгруппа,823,шаблон соцгруппы (off 23),22,1823,14,расходы на жилье,спрос на приобретаемое жильё,частично,
схема 15-17.17 соцгруппа,824,шаблон соцгруппы (off 24),22,1824,2,масштабир цены ПП в соц гр,финансовые расходы на покупку жилья (цена покупаемого жилья),не совпадает,цена покупаемого жилья = #k842
схема 15-17.17 соцгруппа,825,шаблон соцгруппы (off 25),22,1825,12,формир доли на ПП,расходы на арендуемое жильё,совпадает,
схема 15-17.17 соцгруппа,826,шаблон соцгруппы (off 26),22,1826,11,спрос соц группы на ПП,поток покупаемого жилья,не совпадает,поток покупаемого жилья = #k839/#k841
схема 15-17.17 соцгруппа,827,шаблон соцгруппы (off 27),22,1827,12,формир доли на ПП,цена аренды,совпадает,
схема 15-17.17 соцгруппа,828,шаблон соцгруппы (off 28),22,1828,4,формир доли на ПП,количество арендуемого жилья,совпадает,
схема 15-17.17 соцгруппа,830,шаблон соцгруппы (off 30),22,1830,11,спрос на ПП,количество покупаемого жилья,совпадает,
схема 15-17.17 соцгруппа,831,шаблон соцгруппы (off 31),22,1831,14,формир доли на ПП и Жил,удельное жильё на одного члена социальной группы («наличие жилья»),частично,
схема 15-17.17 соцгруппа,832,шаблон соцгруппы (off 32),22,1832,14,формир доли на Жил,уплачиваемый налог за жильё и ставка налога,совпадает,
схема 15-17.17 соцгруппа,833,шаблон соцгруппы (off 33),22,1833,1,формир доли на Жил,уплачиваемый налог за жильё и ставка налога,совпадает,
схема 15-17.17 соцгруппа,834,шаблон соцгруппы (off 34),22,1834,23,формир доли на Жил,степень неудовлетворения в жилье / доля на жильё,совпадает,
